value,count,year
0,976337,1999
1,372307,1999
2,251182,1999
3,388859,1999
4,884227,1999
5,1349656,1999
6,1431253,1999
7,1298478,1999
8,1135652,1999
9,998190,1999
10,889868,1999
11,810572,1999
12,751528,1999
13,708993,1999
14,688167,1999
15,678072,1999
16,686597,1999
17,714226,1999
18,755521,1999
19,809892,1999
20,876096,1999
21,954664,1999
22,1050895,1999
23,1187024,1999
24,1367979,1999
25,1574590,1999
26,1755163,1999
27,1870073,1999
28,1913889,1999
29,1891369,1999
30,1829727,1999
31,1742105,1999
32,1632631,1999
33,1502844,1999
34,1365609,1999
35,1235286,1999
36,1117169,1999
37,1006092,1999
38,893122,1999
39,785013,1999
40,690443,1999
41,608681,1999
42,536545,1999
43,475594,1999
44,420686,1999
45,375274,1999
46,334732,1999
47,300857,1999
48,274163,1999
49,253776,1999
50,235118,1999
51,214683,1999
52,196967,1999
53,180017,1999
54,161801,1999
55,145699,1999
56,132635,1999
57,121541,1999
58,113761,1999
59,106022,1999
60,100021,1999
61,93975,1999
62,88672,1999
63,83545,1999
64,78883,1999
65,74889,1999
66,70933,1999
67,68040,1999
68,66112,1999
69,65028,1999
70,63813,1999
71,63290,1999
72,62374,1999
73,61829,1999
74,61503,1999
75,60193,1999
76,58765,1999
77,56475,1999
78,53386,1999
79,50209,1999
80,45503,1999
81,40999,1999
82,35127,1999
83,28818,1999
84,22930,1999
85,16935,1999
86,11532,1999
87,7325,1999
88,4133,1999
89,1968,1999
90,824,1999
91,206,1999
92,31,1999
93,2,1999
0,965680,2000
1,363619,2000
2,255562,2000
3,405036,2000
4,881333,2000
5,1338752,2000
6,1409271,2000
7,1255506,2000
8,1076881,2000
9,936383,2000
10,834672,2000
11,761838,2000
12,709507,2000
13,677567,2000
14,662914,2000
15,664407,2000
16,683625,2000
17,721651,2000
18,777113,2000
19,843634,2000
20,922805,2000
21,1011538,2000
22,1122282,2000
23,1270055,2000
24,1467761,2000
25,1688047,2000
26,1860612,2000
27,1949335,2000
28,1960787,2000
29,1912074,2000
30,1825673,2000
31,1722363,2000
32,1598963,2000
33,1464781,2000
34,1324900,2000
35,1199079,2000
36,1086737,2000
37,976188,2000
38,869527,2000
39,766345,2000
40,675477,2000
41,594988,2000
42,528061,2000
43,468650,2000
44,417297,2000
45,373734,2000
46,332844,2000
47,298595,2000
48,273611,2000
49,252717,2000
50,233277,2000
51,214263,2000
52,196009,2000
53,179180,2000
54,161074,2000
55,145355,2000
56,132024,2000
57,121645,2000
58,113200,2000
59,106383,2000
60,100418,2000
61,94482,2000
62,89558,2000
63,84679,2000
64,79815,2000
65,75349,2000
66,72039,2000
67,69327,2000
68,66711,2000
69,64657,2000
70,63539,2000
71,62286,2000
72,61923,2000
73,60686,2000
74,59174,2000
75,57674,2000
76,55773,2000
77,53293,2000
78,49810,2000
79,46521,2000
80,42135,2000
81,37535,2000
82,31956,2000
83,26464,2000
84,20734,2000
85,15227,2000
86,10487,2000
87,6545,2000
88,3586,2000
89,1726,2000
90,673,2000
91,180,2000
92,29,2000
93,2,2000
0,953810,2001
1,368821,2001
2,260408,2001
3,405985,2001
4,931710,2001
5,1412969,2001
6,1439019,2001
7,1250593,2001
8,1060453,2001
9,923130,2001
10,821868,2001
11,753901,2001
12,703027,2001
13,672368,2001
14,656620,2001
15,654509,2001
16,671162,2001
17,702896,2001
18,751607,2001
19,810894,2001
20,879476,2001
21,960565,2001
22,1055846,2001
23,1192389,2001
24,1383377,2001
25,1602351,2001
26,1786225,2001
27,1895666,2001
28,1932980,2001
29,1907866,2001
30,1844282,2001
31,1753599,2001
32,1644749,2001
33,1518136,2001
34,1379630,2001
35,1249111,2001
36,1132475,2001
