value,count,year,NAME
0,2729167,1999,Alaska/N.W. Canada [ALA:1]
1,6777681,1999,Alaska/N.W. Canada [ALA:1]
2,9195361,1999,Alaska/N.W. Canada [ALA:1]
3,18797426,1999,Alaska/N.W. Canada [ALA:1]
4,18229877,1999,Alaska/N.W. Canada [ALA:1]
5,11081898,1999,Alaska/N.W. Canada [ALA:1]
6,6305897,1999,Alaska/N.W. Canada [ALA:1]
7,3741336,1999,Alaska/N.W. Canada [ALA:1]
8,2337972,1999,Alaska/N.W. Canada [ALA:1]
9,1543366,1999,Alaska/N.W. Canada [ALA:1]
10,1063855,1999,Alaska/N.W. Canada [ALA:1]
11,761971,1999,Alaska/N.W. Canada [ALA:1]
12,564896,1999,Alaska/N.W. Canada [ALA:1]
13,430513,1999,Alaska/N.W. Canada [ALA:1]
14,335935,1999,Alaska/N.W. Canada [ALA:1]
15,265284,1999,Alaska/N.W. Canada [ALA:1]
16,214706,1999,Alaska/N.W. Canada [ALA:1]
17,175859,1999,Alaska/N.W. Canada [ALA:1]
18,145758,1999,Alaska/N.W. Canada [ALA:1]
19,121169,1999,Alaska/N.W. Canada [ALA:1]
20,103293,1999,Alaska/N.W. Canada [ALA:1]
21,87589,1999,Alaska/N.W. Canada [ALA:1]
22,75776,1999,Alaska/N.W. Canada [ALA:1]
23,65208,1999,Alaska/N.W. Canada [ALA:1]
24,57337,1999,Alaska/N.W. Canada [ALA:1]
25,49652,1999,Alaska/N.W. Canada [ALA:1]
26,44052,1999,Alaska/N.W. Canada [ALA:1]
27,38954,1999,Alaska/N.W. Canada [ALA:1]
28,34694,1999,Alaska/N.W. Canada [ALA:1]
29,30848,1999,Alaska/N.W. Canada [ALA:1]
30,28134,1999,Alaska/N.W. Canada [ALA:1]
31,25068,1999,Alaska/N.W. Canada [ALA:1]
32,22789,1999,Alaska/N.W. Canada [ALA:1]
33,20836,1999,Alaska/N.W. Canada [ALA:1]
34,19085,1999,Alaska/N.W. Canada [ALA:1]
35,17406,1999,Alaska/N.W. Canada [ALA:1]
36,15867,1999,Alaska/N.W. Canada [ALA:1]
37,14622,1999,Alaska/N.W. Canada [ALA:1]
38,13477,1999,Alaska/N.W. Canada [ALA:1]
39,12364,1999,Alaska/N.W. Canada [ALA:1]
40,11340,1999,Alaska/N.W. Canada [ALA:1]
41,10415,1999,Alaska/N.W. Canada [ALA:1]
42,9786,1999,Alaska/N.W. Canada [ALA:1]
43,9132,1999,Alaska/N.W. Canada [ALA:1]
44,8546,1999,Alaska/N.W. Canada [ALA:1]
45,8038,1999,Alaska/N.W. Canada [ALA:1]
46,7508,1999,Alaska/N.W. Canada [ALA:1]
47,6873,1999,Alaska/N.W. Canada [ALA:1]
48,6511,1999,Alaska/N.W. Canada [ALA:1]
49,6123,1999,Alaska/N.W. Canada [ALA:1]
50,5721,1999,Alaska/N.W. Canada [ALA:1]
51,5204,1999,Alaska/N.W. Canada [ALA:1]
52,5049,1999,Alaska/N.W. Canada [ALA:1]
53,4572,1999,Alaska/N.W. Canada [ALA:1]
54,4377,1999,Alaska/N.W. Canada [ALA:1]
55,3868,1999,Alaska/N.W. Canada [ALA:1]
56,3584,1999,Alaska/N.W. Canada [ALA:1]
57,3420,1999,Alaska/N.W. Canada [ALA:1]
58,3130,1999,Alaska/N.W. Canada [ALA:1]
59,2990,1999,Alaska/N.W. Canada [ALA:1]
60,2638,1999,Alaska/N.W. Canada [ALA:1]
61,2565,1999,Alaska/N.W. Canada [ALA:1]
62,2342,1999,Alaska/N.W. Canada [ALA:1]
63,2164,1999,Alaska/N.W. Canada [ALA:1]
64,2097,1999,Alaska/N.W. Canada [ALA:1]
65,1867,1999,Alaska/N.W. Canada [ALA:1]
66,1685,1999,Alaska/N.W. Canada [ALA:1]
67,1605,1999,Alaska/N.W. Canada [ALA:1]
68,1412,1999,Alaska/N.W. Canada [ALA:1]
69,1352,1999,Alaska/N.W. Canada [ALA:1]
70,1209,1999,Alaska/N.W. Canada [ALA:1]
71,1114,1999,Alaska/N.W. Canada [ALA:1]
72,1019,1999,Alaska/N.W. Canada [ALA:1]
73,897,1999,Alaska/N.W. Canada [ALA:1]
74,859,1999,Alaska/N.W. Canada [ALA:1]
75,788,1999,Alaska/N.W. Canada [ALA:1]
76,720,1999,Alaska/N.W. Canada [ALA:1]
77,648,1999,Alaska/N.W. Canada [ALA:1]
78,601,1999,Alaska/N.W. Canada [ALA:1]
79,570,1999,Alaska/N.W. Canada [ALA:1]
80,517,1999,Alaska/N.W. Canada [ALA:1]
81,505,1999,Alaska/N.W. Canada [ALA:1]
82,455,1999,Alaska/N.W. Canada [ALA:1]
83,414,1999,Alaska/N.W. Canada [ALA:1]
84,385,1999,Alaska/N.W. Canada [ALA:1]
85,306,1999,Alaska/N.W. Canada [ALA:1]
86,229,1999,Alaska/N.W. Canada [ALA:1]
87,141,1999,Alaska/N.W. Canada [ALA:1]
88,57,1999,Alaska/N.W. Canada [ALA:1]
89,17,1999,Alaska/N.W. Canada [ALA:1]
90,2,1999,Alaska/N.W. Canada [ALA:1]
0,786879,1999,Amazon [AMZ:7]
1,6345574,1999,Amazon [AMZ:7]
2,25382364,1999,Amazon [AMZ:7]
3,15076863,1999,Amazon [AMZ:7]
4,8374827,1999,Amazon [AMZ:7]
5,5492343,1999,Amazon [AMZ:7]
6,4046108,1999,Amazon [AMZ:7]
7,3182083,1999,Amazon [AMZ:7]
8,2599239,1999,Amazon [AMZ:7]
9,2172398,1999,Amazon [AMZ:7]
10,1845773,1999,Amazon [AMZ:7]
11,1594037,1999,Amazon [AMZ:7]
12,1386066,1999,Amazon [AMZ:7]
13,1220733,1999,Amazon [AMZ:7]
14,1086299,1999,Amazon [AMZ:7]
15,981566,1999,Amazon [AMZ:7]
16,893805,1999,Amazon [AMZ:7]
17,825681,1999,Amazon [AMZ:7]
18,766893,1999,Amazon [AMZ:7]
19,717904,1999,Amazon [AMZ:7]
20,672531,1999,Amazon [AMZ:7]
21,626877,1999,Amazon [AMZ:7]
22,585013,1999,Amazon [AMZ:7]
23,542816,1999,Amazon [AMZ:7]
24,506242,1999,Amazon [AMZ:7]
25,478161,1999,Amazon [AMZ:7]
26,452354,1999,Amazon [AMZ:7]
27,422749,1999,Amazon [AMZ:7]
28,387311,1999,Amazon [AMZ:7]
29,350587,1999,Amazon [AMZ:7]
30,313544,1999,Amazon [AMZ:7]
31,282194,1999,Amazon [AMZ:7]
32,249802,1999,Amazon [AMZ:7]
33,222055,1999,Amazon [AMZ:7]
34,196716,1999,Amazon [AMZ:7]
35,174702,1999,Amazon [AMZ:7]
36,155413,1999,Amazon [AMZ:7]
37,137881,1999,Amazon [AMZ:7]
38,122763,1999,Amazon [AMZ:7]
39,107620,1999,Amazon [AMZ:7]
40,95230,1999,Amazon [AMZ:7]
41,83071,1999,Amazon [AMZ:7]
42,72928,1999,Amazon [AMZ:7]
43,64863,1999,Amazon [AMZ:7]
44,57555,1999,Amazon [AMZ:7]
45,50344,1999,Amazon [AMZ:7]
46,44851,1999,Amazon [AMZ:7]
47,40003,1999,Amazon [AMZ:7]
48,35949,1999,Amazon [AMZ:7]
49,32684,1999,Amazon [AMZ:7]
50,29796,1999,Amazon [AMZ:7]
51,27160,1999,Amazon [AMZ:7]
52,23930,1999,Amazon [AMZ:7]
53,21891,1999,Amazon [AMZ:7]
54,19348,1999,Amazon [AMZ:7]
55,17380,1999,Amazon [AMZ:7]
56,15573,1999,Amazon [AMZ:7]
57,14170,1999,Amazon [AMZ:7]
58,13136,1999,Amazon [AMZ:7]
59,12160,1999,Amazon [AMZ:7]
60,11346,1999,Amazon [AMZ:7]
61,10464,1999,Amazon [AMZ:7]
62,9792,1999,Amazon [AMZ:7]
63,9133,1999,Amazon [AMZ:7]
64,8409,1999,Amazon [AMZ:7]
65,7827,1999,Amazon [AMZ:7]
66,7296,1999,Amazon [AMZ:7]
67,6806,1999,Amazon [AMZ:7]
68,6297,1999,Amazon [AMZ:7]
69,6114,1999,Amazon [AMZ:7]
70,5644,1999,Amazon [AMZ:7]
71,5411,1999,Amazon [AMZ:7]
72,5189,1999,Amazon [AMZ:7]
73,5006,1999,Amazon [AMZ:7]
74,4769,1999,Amazon [AMZ:7]
75,4539,1999,Amazon [AMZ:7]
76,4380,1999,Amazon [AMZ:7]
77,4293,1999,Amazon [AMZ:7]
78,4139,1999,Amazon [AMZ:7]
79,3888,1999,Amazon [AMZ:7]
80,3651,1999,Amazon [AMZ:7]
81,3515,1999,Amazon [AMZ:7]
82,3144,1999,Amazon [AMZ:7]
83,2948,1999,Amazon [AMZ:7]
84,2463,1999,Amazon [AMZ:7]
85,2234,1999,Amazon [AMZ:7]
86,1925,1999,Amazon [AMZ:7]
87,1309,1999,Amazon [AMZ:7]
88,652,1999,Amazon [AMZ:7]
89,229,1999,Amazon [AMZ:7]
90,42,1999,Amazon [AMZ:7]
91,3,1999,Amazon [AMZ:7]
0,1350005,1999,Central America/Mexico [CAM:6]
1,252147,1999,Central America/Mexico [CAM:6]
2,509130,1999,Central America/Mexico [CAM:6]
3,848488,1999,Central America/Mexico [CAM:6]
4,1413380,1999,Central America/Mexico [CAM:6]
5,2052040,1999,Central America/Mexico [CAM:6]
6,2233263,1999,Central America/Mexico [CAM:6]
7,2028452,1999,Central America/Mexico [CAM:6]
8,1724677,1999,Central America/Mexico [CAM:6]
9,1457412,1999,Central America/Mexico [CAM:6]
10,1247525,1999,Central America/Mexico [CAM:6]
11,1084690,1999,Central America/Mexico [CAM:6]
12,962205,1999,Central America/Mexico [CAM:6]
13,872259,1999,Central America/Mexico [CAM:6]
14,802541,1999,Central America/Mexico [CAM:6]
15,752754,1999,Central America/Mexico [CAM:6]
16,719138,1999,Central America/Mexico [CAM:6]
17,693699,1999,Central America/Mexico [CAM:6]
18,676113,1999,Central America/Mexico [CAM:6]
19,660578,1999,Central America/Mexico [CAM:6]
20,647659,1999,Central America/Mexico [CAM:6]
21,634628,1999,Central America/Mexico [CAM:6]
22,622015,1999,Central America/Mexico [CAM:6]
23,609480,1999,Central America/Mexico [CAM:6]
24,607440,1999,Central America/Mexico [CAM:6]
25,613392,1999,Central America/Mexico [CAM:6]
26,614440,1999,Central America/Mexico [CAM:6]
