NAME,year,category,category_count,total_count,proportion
Alaska/N.W. Canada [ALA:1],1999,high,213697,85754345,0.0024919670251110893
Alaska/N.W. Canada [ALA:1],1999,low,80739981,85754345,0.9415264147839972
Alaska/N.W. Canada [ALA:1],1999,medium,4800667,85754345,0.05598161819089167
Alaska/N.W. Canada [ALA:1],2000,high,183185,85754345,0.002136159981164803
Alaska/N.W. Canada [ALA:1],2000,low,81032166,85754345,0.9449336473854474
Alaska/N.W. Canada [ALA:1],2000,medium,4538994,85754345,0.05293019263338785
Alaska/N.W. Canada [ALA:1],2001,high,199040,85754345,0.002321048571941165
Alaska/N.W. Canada [ALA:1],2001,low,81169536,85754345,0.9465355487235079
Alaska/N.W. Canada [ALA:1],2001,medium,4385769,85754345,0.051143402704551005
Alaska/N.W. Canada [ALA:1],2022,high,220704,85754345,0.0025736771705270442
Alaska/N.W. Canada [ALA:1],2022,low,80539343,85754345,0.9391867315877697
Alaska/N.W. Canada [ALA:1],2022,medium,4994298,85754345,0.05823959124170326
Alaska/N.W. Canada [ALA:1],2023,high,221921,85754345,0.0025878688712507804
Alaska/N.W. Canada [ALA:1],2023,low,80041351,85754345,0.9333795389609705
Alaska/N.W. Canada [ALA:1],2023,medium,5491073,85754345,0.06403259216777879
Alaska/N.W. Canada [ALA:1],2024,high,228428,85754345,0.002663748408316803
Alaska/N.W. Canada [ALA:1],2024,low,80347849,85754345,0.9369536785570457
Alaska/N.W. Canada [ALA:1],2024,medium,5178068,85754345,0.06038257303463749
Amazon [AMZ:7],1999,high,1448556,92689645,0.0156280240365577
Amazon [AMZ:7],1999,low,73458678,92689645,0.7925230267091863
Amazon [AMZ:7],1999,medium,17782411,92689645,0.19184894925425597
Amazon [AMZ:7],2000,high,1260670,92689645,0.013600979915286113
Amazon [AMZ:7],2000,low,74860387,92689645,0.8076456329075379
Amazon [AMZ:7],2000,medium,16568588,92689645,0.17875338717717604
Amazon [AMZ:7],2001,high,1192512,92689645,0.012865644269109026
Amazon [AMZ:7],2001,low,74706372,92689645,0.8059840125614894
Amazon [AMZ:7],2001,medium,16790761,92689645,0.1811503431694015
Amazon [AMZ:7],2022,high,1708037,92689645,0.018427484537242536
Amazon [AMZ:7],2022,low,68220380,92689645,0.7360086447628535
Amazon [AMZ:7],2022,medium,22761228,92689645,0.24556387069990396
Amazon [AMZ:7],2023,high,1704417,92689645,0.01838842947343255
Amazon [AMZ:7],2023,low,68677438,92689645,0.7409397025956891
Amazon [AMZ:7],2023,medium,22307790,92689645,0.24067186793087836
Amazon [AMZ:7],2024,high,1943728,92689645,0.020970282063330806
Amazon [AMZ:7],2024,low,67341828,92689645,0.7265302181273863
Amazon [AMZ:7],2024,medium,23404089,92689645,0.2524994998092829
Antarctica,1999,high,71906,5031482,0.014291216782649723
Antarctica,1999,low,4082750,5031482,0.8114408438706529
Antarctica,1999,medium,876826,5031482,0.17426793934669746
Antarctica,2000,high,62234,5031482,0.012368920330033974
Antarctica,2000,low,4260193,5031482,0.8467073915796578
Antarctica,2000,medium,709055,5031482,0.1409236880903082
Antarctica,2001,high,59798,5031482,0.01188476874209229
Antarctica,2001,low,4273591,5031482,0.8493702253133371
Antarctica,2001,medium,698093,5031482,0.1387450059445706
Antarctica,2022,high,60912,5031482,0.01210617468173393
Antarctica,2022,low,4208564,5031482,0.8364462001454045
Antarctica,2022,medium,762006,5031482,0.1514476251728616
Antarctica,2023,high,61827,5031482,0.01228802965011104
Antarctica,2023,low,4176660,5031482,0.8301053248327233
Antarctica,2023,medium,792995,5031482,0.15760664551716572
Antarctica,2024,high,64409,5031482,0.012801198533553335
Antarctica,2024,low,4204644,5031482,0.835667105636073
Antarctica,2024,medium,762429,5031482,0.15153169583037363
Arctic,1999,high,716922,240847218,0.0029766671417396236
Arctic,1999,low,223987396,240847218,0.9299978544904762
Arctic,1999,medium,16142900,240847218,0.06702547836778418
Arctic,2000,high,700833,240847218,0.002909865456697947
Arctic,2000,low,223930267,240847218,0.9297606543248509
Arctic,2000,medium,16216118,240847218,0.06732948021845118
Arctic,2001,high,563113,240847218,0.002338050672439156
Arctic,2001,low,225575598,240847218,0.9365920846966146
Arctic,2001,medium,14708507,240847218,0.06106986463094625
Arctic,2022,high,709339,240847218,0.0029451824517233993
Arctic,2022,low,223505284,240847218,0.9279961207606724
Arctic,2022,medium,16632595,240847218,0.06905869678760417
Arctic,2023,high,840567,240847218,0.00349004238861501
Arctic,2023,low,222162707,240847218,0.922421727952033
Arctic,2023,medium,17843944,240847218,0.07408822965935193
Arctic,2024,high,836825,240847218,0.0034745055680900578
Arctic,2024,low,222951717,240847218,0.92569770517341
Arctic,2024,medium,17058676,240847218,0.07082778925849997
Canada/Greenland/Iceland [CGI:2],1999,high,1123778,194947668,0.0057645111199791325
Canada/Greenland/Iceland [CGI:2],1999,low,178770553,194947668,0.9170181661265114
Canada/Greenland/Iceland [CGI:2],1999,medium,15053337,194947668,0.07721732275350941
Canada/Greenland/Iceland [CGI:2],2000,high,1006245,194947668,0.005161615988143033
Canada/Greenland/Iceland [CGI:2],2000,low,179151363,194947668,0.9189715621527722
Canada/Greenland/Iceland [CGI:2],2000,medium,14790060,194947668,0.07586682185908476
Canada/Greenland/Iceland [CGI:2],2001,high,907835,194947668,0.004656813848114357
Canada/Greenland/Iceland [CGI:2],2001,low,180167051,194947668,0.9241816167813816
Canada/Greenland/Iceland [CGI:2],2001,medium,13872782,194947668,0.0711615693705041
Canada/Greenland/Iceland [CGI:2],2022,high,973246,194947668,0.004992344919971035
Canada/Greenland/Iceland [CGI:2],2022,low,178980196,194947668,0.9180935470333506
Canada/Greenland/Iceland [CGI:2],2022,medium,14994226,194947668,0.07691410804667846
Canada/Greenland/Iceland [CGI:2],2023,high,985766,194947668,0.005056567283482458
Canada/Greenland/Iceland [CGI:2],2023,low,176957130,194947668,0.9077160646004753
Canada/Greenland/Iceland [CGI:2],2023,medium,17004772,194947668,0.0872273681160423
Canada/Greenland/Iceland [CGI:2],2024,high,901021,194947668,0.004621860878069083
Canada/Greenland/Iceland [CGI:2],2024,low,178204214,194947668,0.9141130839277338
Canada/Greenland/Iceland [CGI:2],2024,medium,15842433,194947668,0.08126505519419704
Central America/Mexico [CAM:6],1999,high,2820974,33526361,0.08414196816648249
Central America/Mexico [CAM:6],1999,low,13868994,33526361,0.413674302439206
Central America/Mexico [CAM:6],1999,medium,16836393,33526361,0.5021837293943116
Central America/Mexico [CAM:6],2000,high,2680124,33526361,0.0799407964377643
Central America/Mexico [CAM:6],2000,low,14045040,33526361,0.41892527495006093
Central America/Mexico [CAM:6],2000,medium,16801197,33526361,0.5011339286121748
Central America/Mexico [CAM:6],2001,high,2752998,33526361,0.08211442929938027
Central America/Mexico [CAM:6],2001,low,13948648,33526361,0.41605016422748653
Central America/Mexico [CAM:6],2001,medium,16824715,33526361,0.5018354064731332
Central America/Mexico [CAM:6],2022,high,3905640,33526361,0.11649459957792616
Central America/Mexico [CAM:6],2022,low,13769898,33526361,0.4107185387641683
Central America/Mexico [CAM:6],2022,medium,15850823,33526361,0.47278686165790557
